,nom_ecole,geometry,note_vetuste,note_vetuste_count,note_encadrement,note_encadrement_count,note_climat,note_climat_count,note_cantine,note_cantine_count,note_abord_securise,note_abord_securise_count,ecole
0,Ecole élémentaire Amidonniers,POINT (1.42136735903258 43.609294361879726),4.0,1.0,3.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,Ecole élémentaire Amidonniers
1,Ecole élémentaire Becanne Maurice,POINT (1.426397386846141 43.582953380898694),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Becanne Maurice
2,Ecole élémentaire Bert Paul,POINT (1.378266485298608 43.55966160414483),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Bert Paul
3,Ecole élémentaire Dortis,POINT (1.435392835355586 43.666578416253934),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Dortis
4,Ecole élémentaire Falguière,POINT (1.430207804934197 43.6073150794179),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Falguière
5,Ecole élémentaire Hugo Victor,POINT (1.402456714352285 43.56628623047719),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Hugo Victor
6,Ecole élémentaire Julien Jules,POINT (1.453776862367176 43.57402264602246),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Julien Jules
7,Ecole élémentaire Lesseps Ferdinand De,POINT (1.38522999813037 43.5790048760853),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Lesseps Ferdinand De
8,Ecole élémentaire Macé Jean,POINT (1.478268707510161 43.5957845199208),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Macé Jean
9,Ecole élémentaire Oustalous (Les),POINT (1.424266328453772 43.574761756152604),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Oustalous (Les)
10,Ecole élémentaire Saliège Jules-Géraud (ex Alphand),POINT (1.433820761793812 43.655130680213034),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Saliège Jules-Géraud (ex Alphand)
11,Ecole élémentaire Sept Deniers,POINT (1.408793759592796 43.616662650295616),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Sept Deniers
12,Ecole élémentaire Soupetard,POINT (1.477442633131743 43.60734743702237),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Soupetard
13,Ecole élémentaire Triolet Elsa,POINT (1.394434690438584 43.57222203342783),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Triolet Elsa
14,Ecole élémentaire Bonhoure,POINT (1.465877731815201 43.60238379705253),3.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,,0.0,Ecole élémentaire Bonhoure
15,Ecole élémentaire Bonnefoy,POINT (1.454297705430024 43.616935476219666),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Bonnefoy
16,Ecole élémentaire Canto Laouzetto,POINT (1.387946987548744 43.55998481879631),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Canto Laouzetto
17,Ecole élémentaire Château d'Ancely,POINT (1.398316413013646 43.61852447781441),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Château d'Ancely
18,Ecole élémentaire Dauriac Sylvain,POINT (1.413942634281663 43.578155506605775),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Dauriac Sylvain
19,Ecole élémentaire Falcucci Clément,POINT (1.409182255213409 43.57934132016913),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Falcucci Clément
20,Ecole élémentaire Faucher Daniel,POINT (1.405362583364031 43.5727930821193),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Faucher Daniel
21,Ecole élémentaire Fontaine Bayonne,POINT (1.416909865374099 43.60077853147048),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Fontaine Bayonne
22,Ecole élémentaire Gais Pinsons (Les),POINT (1.408858113798437 43.60408574362667),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Gais Pinsons (Les)
23,Ecole élémentaire Héritier Françoise,POINT (1.406215237660018 43.57277311386362),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Héritier Françoise
24,Ecole élémentaire Hyon Georges,POINT (1.41035321992764 43.57932732267949),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Hyon Georges
25,Ecole élémentaire Jacquier Maurice,POINT (1.418074786091485 43.5756303762879),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Jacquier Maurice
26,Ecole élémentaire Lalande,POINT (1.432897233505673 43.64822364842159),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Lalande
27,Ecole élémentaire Lapujade,POINT (1.460642504473118 43.628629659107816),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Lapujade
28,Ecole élémentaire Littre,POINT (1.377568118017214 43.608146049560325),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Littre
29,Ecole élémentaire Michoun,POINT (1.468211297704148 43.62672896881752),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Michoun
30,Ecole élémentaire Molière,POINT (1.430862434518407 43.59343121283073),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Molière
31,Ecole élémentaire Monge,POINT (1.457741576686656 43.60883740620696),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Monge
32,Ecole élémentaire Nougaro,POINT (1.434282551824928 43.62055286741985),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Nougaro
33,Ecole élémentaire Pagnol Marcel,POINT (1.40124665939134 43.59710505698739),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Pagnol Marcel
34,Ecole élémentaire Papus,POINT (1.413244980496751 43.57571025700151),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Papus
35,Ecole élémentaire Ponts Jumeaux,POINT (1.422375623052344 43.61516556042898),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Ponts Jumeaux
36,Ecole élémentaire Terrasse (La),POINT (1.485436587088147 43.58389947301406),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Terrasse (La)
37,Ecole élémentaire Calvinhac,POINT (1.45498952436648 43.59802203387074),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Calvinhac
38,Ecole élémentaire Chaubet Jean,POINT (1.467419856955276 43.600599380496234),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Chaubet Jean
39,Ecole élémentaire Courrège,POINT (1.47601297884932 43.58208034130397),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Courrège
40,Ecole élémentaire Curie Marie & Pierre,POINT (1.443369104769917 43.62064517145519),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Curie Marie & Pierre
41,Ecole élémentaire Dupont Pierre,POINT (1.445830280690475 43.58926924085349),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Dupont Pierre
42,Ecole élémentaire Ferry Jules,POINT (1.433361671403053 43.632964778135175),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Ferry Jules
43,Ecole élémentaire Fleurance,POINT (1.370685338931232 43.59887358228114),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Fleurance
44,Ecole élémentaire France Anatole,POINT (1.461798172832453 43.58482253476975),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire France Anatole
45,Ecole élémentaire Guillaumet Henri,POINT (1.488649762690443 43.5772548770016),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Guillaumet Henri
46,Ecole élémentaire Lardenne,POINT (1.378130588746774 43.588740814310206),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Lardenne
47,Ecole élémentaire Leygue Armand,POINT (1.463477368153292 43.59684559705719),3.0,5.0,2.6,5.0,1.4,5.0,3.2,5.0,2.0,5.0,Ecole élémentaire Leygue Armand
48,Ecole élémentaire Musset Alfred De,POINT (1.430147897540749 43.62319925586947),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Musset Alfred De
49,Ecole élémentaire Pastel (Le),POINT (1.453541498573324 43.54532290334199),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Pastel (Le)
50,Ecole élémentaire Renan Ernest,POINT (1.441531364928577 43.636649639707336),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Renan Ernest
51,Ecole élémentaire Ricardie,POINT (1.449413159467609 43.58093217465964),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Ricardie
52,Ecole élémentaire Tillion Germaine,POINT (1.391930789680408 43.58418128921029),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Tillion Germaine
53,Ecole élémentaire Vernant,POINT (1.457736923952168 43.55041874472351),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Vernant
54,Ecole élémentaire Viollet-le-Duc,POINT (1.391952570126055 43.58135092910562),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Viollet-le-Duc
55,Ecole élémentaire Zay Jean,POINT (1.447114282933722 43.6435886158176),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Zay Jean
56,Ecole élémentaire Benezet,POINT (1.427371572953566 43.58950038909314),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Benezet
57,Ecole élémentaire Billières Etienne,POINT (1.420903146094662 43.5881463506393),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Billières Etienne
58,Ecole élémentaire Château de l'Hers,POINT (1.485383645981417 43.600667239802526),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Château de l'Hers
59,Ecole élémentaire De Gouges Olympe,POINT (1.439761499442563 43.65416498570646),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire De Gouges Olympe
60,Ecole élémentaire Dottin Paul,POINT (1.399135226687609 43.5605838901044),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Dottin Paul
61,Ecole élémentaire Guilhermy,POINT (1.372182901498191 43.56726854652503),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Guilhermy
62,Ecole élémentaire Jaurès Jean,POINT (1.451389037926785 43.58906920122396),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Jaurès Jean
63,Ecole élémentaire Jolimont,POINT (1.467802769909187 43.61384525336196),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Jolimont
64,Ecole élémentaire Juncasse (La),POINT (1.471681445312581 43.61747026278543),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Juncasse (La)
65,Ecole élémentaire Lespinasse,POINT (1.434868155508791 43.59767677435284),,0.0,,0.0,,0.0,,0.0,,0.0,Ecole élémentaire Lespinasse
